display_order,category,title,variables,path,design_reason
1,Outcomes,Homelessness rate over time,homeless_rate_per_10k,charts/01_outcomes/homelessness_rate_over_time.png,Preserves time ordering and explicitly flags the 2021 measurement disruption.
2,Study-wide EDA,All-factor association screen,shelter_beds_per_10k; psh_beds_per_10k; state_homeless_funding_musd; state_homeless_funding_per_capita; anticamping_strictness; medicaid_expansion; tanf_max_benefit_3person; ssi_state_supplement; minimum_wage; personal_income_per_capita; median_household_income; poverty_rate; labor_force_participation; unemployment_rate; substance_use_disorder_rate; serious_mental_illness_rate; uninsured_rate; high_school_graduation_rate; average_student_debt_per_borrower; avg_in_state_tuition; state_population; population_density; population_growth_rate_pct; pct_age_18_24; pct_age_65plus; avg_household_size; avg_temp_f; precip_in; cooling_degree_days; median_rent; median_home_price; rent_as_pct_income; rent_burden_share; rental_vacancy_rate; homeownership_rate; housing_units_per_capita; new_housing_permits; housing_supply_growth_rate; eviction_filing_rate; cpi_u; unsheltered_share_pct; total_beds_per_10k; estimated_housing_units; permits_per_1000_housing_units; home_price_to_income_ratio; real_median_rent_2025_usd; real_median_home_price_2025_usd; real_personal_income_per_capita_2025_usd; real_median_household_income_2025_usd; real_minimum_wage_2025_usd; real_home_price_growth_pct,charts/07_goal_eda/all_factor_association_screen.png,Summarizes every eligible factor using within-state and annual-change correlations instead of privileging a single column.
3,Study-wide EDA,Category association summary,all eligible factors grouped by category,charts/07_goal_eda/category_association_summary.png,Summarizes the full factor set by conceptual category rather than selecting one variable as the explanation.
4,Relationships,Selected within-state correlation heatmap,homeless_rate_per_10k; unsheltered_share_pct; rental_vacancy_rate; housing_units_per_capita; permits_per_1000_housing_units; home_price_to_income_ratio; unemployment_rate; poverty_rate; total_beds_per_10k; state_homeless_funding_per_capita,charts/04_relationships/selected_within_state_correlation_heatmap.png,"Replaces the unreadable 43-variable raw correlation matrix with a focused, de-meaned matrix."
5,Data quality,Missing-data heatmap,pct_age_18_24; pct_age_65plus; avg_household_size; population_growth_rate_pct; median_household_income; poverty_rate; real_median_household_income_2025_usd; homeless_rate_change_per_10k; unsheltered_share_pct; home_price_to_income_ratio; real_median_rent_2025_usd; real_home_price_growth_pct; rent_as_pct_income; housing_supply_growth_rate; median_rent; foreclosure_rate; rent_burden_share; eviction_filing_rate; beds_per_100_homeless; funding_per_homeless_person,charts/05_data_quality/missing_data_heatmap.png,Makes gaps explicit instead of hiding them in regressions or broken lines.
6,Data quality,Category completeness,all categorized variables,charts/05_data_quality/category_completeness.png,Summarizes where additional sourcing work would have the greatest value.
7,Goal-aligned EDA,Key factor state boxplots,homeless_rate_per_10k; home_price_to_income_ratio; rental_vacancy_rate; housing_units_per_capita; permits_per_1000_housing_units; total_beds_per_10k,charts/07_goal_eda/key_factor_state_boxplots.png,Provides a compact California–Florida distribution comparison for the outcome and five goal-aligned candidate mechanisms.
8,Housing,Home price-to-income ratio,home_price_to_income_ratio,charts/02_housing/home_price_to_income_ratio.png,Combines price and income into an interpretable affordability measure.
9,Housing,Rental vacancy rate,rental_vacancy_rate,charts/02_housing/rental_vacancy_rate.png,Direct time comparison of a central housing-market tightness measure.
10,Housing,"Permits per 1,000 housing units",permits_per_1000_housing_units,charts/02_housing/permits_per_1000_housing_units.png,Normalizes permits for the very different size of the two housing stocks.
11,Economy and services,Homelessness and bed capacity,homeless_rate_per_10k; total_beds_per_10k,charts/03_economy_and_services/homelessness_and_bed_capacity.png,Uses a common population denominator and separates states into readable panels.
