category,title,variables,path,design_reason
Outcomes,Homelessness rate over time,homeless_rate_per_10k,charts/01_outcomes/homelessness_rate_over_time.png,Preserves time ordering and explicitly flags the 2021 measurement disruption.
Outcomes,Unsheltered share over time,unsheltered_share_pct,charts/01_outcomes/unsheltered_share_over_time.png,Uses a comparable percentage instead of state totals with very different population sizes.
Outcomes,Homelessness composition,sheltered_homeless; unsheltered_homeless,charts/01_outcomes/homelessness_composition.png,A 100% composition chart avoids misleading comparisons of raw state totals.
Housing,Real median rent,real_median_rent_2025_usd,charts/02_housing/real_median_rent_over_time.png,Uses constant dollars so the trend is not merely general inflation.
Housing,Real median home price,real_median_home_price_2025_usd,charts/02_housing/real_median_home_price_over_time.png,Uses a consistent sale-price series and adjusts for inflation.
Housing,Home price-to-income ratio,home_price_to_income_ratio,charts/02_housing/home_price_to_income_ratio.png,Combines price and income into an interpretable affordability measure.
Housing,Rental vacancy rate,rental_vacancy_rate,charts/02_housing/rental_vacancy_rate.png,Direct time comparison of a central housing-market tightness measure.
Housing,"Housing units per 1,000 residents",housing_units_per_capita,charts/02_housing/housing_units_per_1000_residents.png,Rescales the complete per-capita series to an intuitive denominator.
Housing,"Permits per 1,000 housing units",permits_per_1000_housing_units,charts/02_housing/permits_per_1000_housing_units.png,Normalizes permits for the very different size of the two housing stocks.
Housing,Housing supply growth,housing_supply_growth_rate,charts/02_housing/housing_supply_growth_rate.png,Shows the expanded historical series without bridging the Census vintage boundary.
Economy and services,Homelessness and bed capacity,homeless_rate_per_10k; total_beds_per_10k,charts/03_economy_and_services/homelessness_and_bed_capacity.png,Uses a common population denominator and separates states into readable panels.
Economy and services,Funding per person counted,funding_per_homeless_person,charts/03_economy_and_services/funding_per_homeless_person.png,Normalizes funding while warning that the 2021 denominator is disrupted.
Economy and services,Real income versus home-price index,real_personal_income_per_capita_2025_usd; real_median_home_price_2025_usd,charts/03_economy_and_services/real_income_vs_home_price_index.png,Indexing compares growth rates without a misleading dual axis.
Relationships,Within-state vacancy and homelessness,rental_vacancy_rate; homeless_rate_per_10k,charts/04_relationships/within_state_vacancy_vs_homelessness.png,Avoids treating the static California–Florida difference as the relationship.
Relationships,Lagged permits and homelessness change,lag(permits_per_1000_housing_units); homeless_rate_change_per_10k,charts/04_relationships/lagged_permits_vs_homelessness_change.png,Uses temporal ordering and a change outcome instead of a raw cross-state trend.
Relationships,Home-price growth and homelessness change,real_home_price_growth_pct; homeless_rate_change_per_10k,charts/04_relationships/home_price_growth_vs_homelessness_change.png,Compares within-state annual changes rather than raw levels.
Relationships,Selected within-state correlation heatmap,homeless_rate_per_10k; unsheltered_share_pct; rental_vacancy_rate; housing_units_per_capita; permits_per_1000_housing_units; home_price_to_income_ratio; unemployment_rate; poverty_rate; total_beds_per_10k; funding_per_homeless_person,charts/04_relationships/selected_within_state_correlation_heatmap.png,"Replaces the unreadable 43-variable raw correlation matrix with a focused, de-meaned matrix."
Data quality,Missing-data heatmap,pct_age_18_24; pct_age_65plus; avg_household_size; population_growth_rate_pct; median_household_income; poverty_rate; real_median_household_income_2025_usd; homeless_rate_change_per_10k; unsheltered_share_pct; home_price_to_income_ratio; real_median_rent_2025_usd; real_home_price_growth_pct; rent_as_pct_income; housing_supply_growth_rate; median_rent; foreclosure_rate; rent_burden_share; eviction_filing_rate; beds_per_100_homeless; funding_per_homeless_person,charts/05_data_quality/missing_data_heatmap.png,Makes gaps explicit instead of hiding them in regressions or broken lines.
Data quality,Category completeness,all categorized variables,charts/05_data_quality/category_completeness.png,Summarizes where additional sourcing work would have the greatest value.
Scatterplots,Shelter Beds per 10k versus homelessness rate,shelter_beds_per_10k; homeless_rate_per_10k,charts/06_scatterplots/shelter_beds_per_10k_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Psh Beds per 10k versus homelessness rate,psh_beds_per_10k; homeless_rate_per_10k,charts/06_scatterplots/psh_beds_per_10k_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,State Homeless Funding Musd versus homelessness rate,state_homeless_funding_musd; homeless_rate_per_10k,charts/06_scatterplots/state_homeless_funding_musd_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,State Homeless Funding per Capita versus homelessness rate,state_homeless_funding_per_capita; homeless_rate_per_10k,charts/06_scatterplots/state_homeless_funding_per_capita_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Anticamping Strictness versus homelessness rate,anticamping_strictness; homeless_rate_per_10k,charts/06_scatterplots/anticamping_strictness_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Medicaid Expansion versus homelessness rate,medicaid_expansion; homeless_rate_per_10k,charts/06_scatterplots/medicaid_expansion_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Tanf Max Benefit 3person versus homelessness rate,tanf_max_benefit_3person; homeless_rate_per_10k,charts/06_scatterplots/tanf_max_benefit_3person_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Ssi State Supplement versus homelessness rate,ssi_state_supplement; homeless_rate_per_10k,charts/06_scatterplots/ssi_state_supplement_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Minimum Wage versus homelessness rate,minimum_wage; homeless_rate_per_10k,charts/06_scatterplots/minimum_wage_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Personal Income per Capita versus homelessness rate,personal_income_per_capita; homeless_rate_per_10k,charts/06_scatterplots/personal_income_per_capita_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Median Household Income versus homelessness rate,median_household_income; homeless_rate_per_10k,charts/06_scatterplots/median_household_income_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Poverty Rate versus homelessness rate,poverty_rate; homeless_rate_per_10k,charts/06_scatterplots/poverty_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Labor Force Participation versus homelessness rate,labor_force_participation; homeless_rate_per_10k,charts/06_scatterplots/labor_force_participation_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Unemployment Rate versus homelessness rate,unemployment_rate; homeless_rate_per_10k,charts/06_scatterplots/unemployment_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Substance Use Disorder Rate versus homelessness rate,substance_use_disorder_rate; homeless_rate_per_10k,charts/06_scatterplots/substance_use_disorder_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Serious Mental Illness Rate versus homelessness rate,serious_mental_illness_rate; homeless_rate_per_10k,charts/06_scatterplots/serious_mental_illness_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Uninsured Rate versus homelessness rate,uninsured_rate; homeless_rate_per_10k,charts/06_scatterplots/uninsured_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,High School Graduation Rate versus homelessness rate,high_school_graduation_rate; homeless_rate_per_10k,charts/06_scatterplots/high_school_graduation_rate_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
Scatterplots,Average Student Debt per Borrower versus homelessness rate,average_student_debt_per_borrower; homeless_rate_per_10k,charts/06_scatterplots/average_student_debt_per_borrower_vs_homeless_rate.png,State-faceted descriptive scatterplot with year encoded by color; 2021 excluded and no fitted trend line.
