"variable","check","status","note"
"(all)","predictor_year < target_year","PASS","target-predictor year gaps -> 1:898; 0 rows with gap<=0"
"target_year","2021 excluded as target","PASS","0 rows target_year==2021 (COVID-disrupted PIT)"
"(predictors)","|corr with target| > 0.95","PASS","no predictor is near-perfectly correlated with the target"
"coc_log_estimated_population","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_population_density_per_sq_mile","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_housing_units_per_1000_residents","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_permits_per_1000_housing_units","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_birth_rate_per_1000","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_death_rate_per_1000","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_international_migration_rate_per_1000","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_domestic_migration_rate_per_1000","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_group_quarters_per_1000_residents","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_population_growth_rate_pct","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_hic_temporary_beds_per_10k","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"coc_hic_psh_beds_per_10k","shares construction with target denominator","NOTE","uses predictor-year CoC population; target uses next-year population. Low but non-zero mechanical overlap; keep as predictor, monitor stability."
"(predictors)","name scan for outcome/future content","PASS","no predictor name suggests it carries the target or future-dated information"
