"id","category","constraint","observed","how_reported","source"
"C1","Sample construction","2021 PIT excluded as a modelling target","No target_year 2021 rows; validation years are 2017-2020 and 2022-2025 (8 folds, not 9).","Stated wherever folds or years appear; the gap is visible in FIG_03 and FIG_08a.","FINAL_run_manifest.csv; EDA_FINDINGS_v2.md s1"
"C2","Geography","FY2024 CoC boundaries applied retrospectively to 2010-2025","Historical CoC mergers/splits remain a measurement-error source; CA-528 (3 PIT rows) has no FY2024 denominator and is dropped before the candidate panel.","Reported as a standing limitation; not corrected, not imputed.","COC_BOUNDARY_DIAGNOSTICS.md"
"C3","Sample construction","FL-518 excluded from the primary model","FL-518 has no usable FHFA local home-price index (member counties never reach the 40% weighted-coverage floor); requiring that predictor drops 11 rows and the whole CoC, giving 887 rows / 70 CoCs instead of 898 / 71.","Stated in the primary results and tested directly in sensitivity S5, which restores FL-518 by dropping the index.","COC_BOUNDARY_DIAGNOSTICS.md; SENSITIVITY_FINDINGS.md s6"
"C4","Measurement","Split-county allocation uses fractional ACS 2024 tract-population shares","8 FY2024 CoCs split a county (CA-600, CA-606, CA-607, CA-612, FL-506, FL-508, FL-510, FL-518); 91 rows carry the flag in the primary panel. Their county-derived predictors are estimates, not observed CoC values.","Flag retained in the data and tested directly in sensitivity S1.","COC_BOUNDARY_DIAGNOSTICS.md; SENSITIVITY_FINDINGS.md s2"
"C5","Predictor structure","State-level predictors repeat across every CoC in a state","8 state_* predictors carry one value per state-year, repeated across all of that state's CoCs. The unpenalized state and time controls absorb most of what they can contribute; several are never selected.","Non-selection of a state_* predictor is reported as uninformative, not as evidence of no relationship.","EDA_FINDINGS_v2.md s5-s6; SENSITIVITY_FINDINGS.md s7"
"C6","Design","Limited two-state time structure","Two states, 70 CoCs, 13 usable target years, 887 rows, 8 out-of-time folds. A state interaction is indistinguishable from any other state-level difference.","No causal claim is made anywhere; state interactions are described as model terms, not mechanisms.","AGENTS.md modelling guidance; EDA_FINDINGS_v2.md"
"C7","Claim wording","'Best model' is criterion-dependent","The headline model has the lowest unified RMSE (14.692) and highest R2 (0.636) but the FOURTH-lowest MAE among unified variants (10.141 vs 9.805 for pooled_lasso/1se).","Reported as best-on-RMSE among unified models, never as best outright.","AUDIT_REPORT.md check 10.3"
"C8","Claim wording","'Unified' is load-bearing","The separate-state composite scores better overall (RMSE 13.902, R2 0.674) than the best unified model (14.692, 0.636), but it is the concatenation of two single-state models, not one model.","Both are reported; the qualifier is never dropped.","AUDIT_REPORT.md check 10.6"
"C9","Metric interpretation","Pooled R2 is not within-state explanatory power","The state + linear-time baseline has pooled R2 0.190 but within-state R2 of -0.126 (CA) and -0.072 (FL). Its pooled skill is entirely the CA/FL level gap.","Every pooled R2 is reported alongside within-state figures; FIG_04 carries the warning.","AUDIT_REPORT.md check 11.5"
"C10","Claim wording","The headline model is not best within Florida","In Florida it is the weakest of the four pooled variants (RMSE 10.386, R2 0.376) versus pooled_lasso/1se (8.472, 0.585). Its overall win is carried by California, which supplies 63% of scored rows.","Stated wherever the headline model is named.","AUDIT_REPORT.md check 11.6"
"C11","Attribution","Correlated predictors are not individually identified","18 predictor pairs have |r| >= 0.80. Three frequently selected predictors are pair members: coc_population_growth_rate_pct, coc_real_gdp_quantity_index, coc_permits_value_per_1000_housing_units_2025_usd. No pair has both members frequently selected.","Selected members are reported as markers for a correlated cluster, never as the operative variable.","AUDIT_REPORT.md checks 13.2/13.4; EDA_FINDINGS_v2.md s8"
"C12","Preprocessing","Log-target shift constant read from the full column","min(target) over all 887 rows = 4.83 > 0, so the shift is identically 0 in every fold. No information crosses the split.","Recorded for transparency; no numerical effect on any reported result.","AUDIT_REPORT.md check 6.7"
"C13","Endogeneity","Service-capacity predictors are plausibly endogenous to the outcome","The two HIC bed rates are the largest coefficients in the headline model and account for roughly a third of its out-of-time R2 (RMSE 14.692 -> 17.822 when removed on identical rows).","Service-capacity associations are reported separately from structural housing/economic factors throughout; S3 is the conservative statement.","SENSITIVITY_FINDINGS.md s4"
"C14","Predictive value","The factor set adds nothing beyond persistence","With each CoC's own prior-year rate available, all 38 factors and all state interactions are shrunk to exactly zero in all 7 folds, under both lambda rules, in both eligibility samples.","Reported as a primary limitation on the model's predictive usefulness, not buried in the sensitivity section.","SENSITIVITY_FINDINGS.md s5"
