assumption_id,topic,decision_or_assumption,reason,modeling_consequence
A01,Unit of observation,One county-year; 58 California counties and 67 Florida counties for 2010-2025.,Matches requested geography and period.,"Expected panel has 2,000 rows."
A02,Meaning of coefficients,"Interpreted as candidate covariates grouped by substantive category, not fitted regression coefficients.",No target or model has yet been selected.,Do not rank variables as effects until a target and validation plan exist.
A03,Rawness,"Published values are retained alongside a limited set of transparent arithmetic rates, annual averages, and policy codings documented in the dictionary.",Keeps provenance while making the workbook graphable and immediately usable.,Further learned cleaning or imputation must occur in a separate derivative file.
A04,Missing data,"Missing, suppressed, and not-yet-published values remain blank; none are converted to zero.",A blank is not evidence of no event.,Coverage must be checked before every chart/model.
A05,2025,Rows exist for 2025 even when a lagged source ends in 2024.,The user requested an inclusive 2010-2025 panel.,Restrict models to common coverage or use source-aware missingness methods.
A06,Census vintage boundary,PEP population/housing use 2019 vintage through 2019 and 2025 vintage from 2020 onward.,These are the official files spanning the requested period.,Do not treat the 2019-to-2020 difference as a pure annual change without sensitivity checks.
A07,SAIPE uncertainty,SAIPE 90% confidence intervals are retained alongside point estimates.,County estimates have uncertainty.,Use uncertainty in interpretation; avoid over-ranking small differences.
A08,BLS annual measure,Only M13 annual-average LAUS observations are compiled; monthly records remain in raw API JSON.,Creates one value per county-year.,2025 excludes October and needs a chart/model caution.
A09,Permits,Total authorized units/value are mechanical sums of the four published structure-size categories.,The annual county file has components rather than one total column.,Treat reported-place coverage as a quality field.
A10,FHFA HPI,"HPI is an index, not a dollar price; unavailable small-county values remain missing.",Prevents false price interpretation.,Do not combine it directly with dollar outcomes without defining the transformation.
A11,BEA measures,BEA population is retained even though Census PEP population also exists.,It documents the denominator underlying BEA per-capita income.,Choose one population definition per model and run a sensitivity check.
A12,Homelessness outcome,No county homelessness outcome is inserted in this build.,"HUD PIT data are primarily Continuum-of-Care geography, not a consistent county-year measure.",A documented CoC-to-county allocation decision is required before county homelessness modeling.
A13,Causality,All variables are observational candidate predictors.,The panel does not identify causal effects by itself.,"Use time controls, county effects, lags, and time-based validation; avoid causal language."
A14,Leakage,Same-year measures are not automatically safe predictors.,Some economic releases are revised and outcomes may be contemporaneous.,Define the prediction date and lag predictors before predictive modeling.
A15,Scale,Raw totals and published rates are both retained; selected population-normalized rates are mechanical derivations.,Totals preserve source data; rates improve comparability.,Keep the raw numerator and denominator in any model audit.
A16,Labor coverage,BLS annual LAUS measures are retrieved in FRED batches of no more than 12 series and cover all counties and years.,FRED silently truncates larger graph-CSV requests; the 12-series limit was verified and enforced.,The 2025 annual estimate remains an 11-month BLS average excluding October.
A17,Zillow annualization,Annual Zillow values are arithmetic means of the available monthly county values; month counts are retained.,The source is monthly and the panel is annual.,Do not describe the annual sale-price value as a median over all transactions in the year.
A18,ZORI meaning,ZORI is retained as a typical observed market-rent index and is not renamed median rent.,ZORI and ACS median gross rent have different concepts and coverage.,Do not combine or coalesce ZORI with ACS rent measures.
A19,Eviction estimates,"Eviction Lab modeled counts, uncertainty bounds, and source flags are retained through 2018.",The national county series is the only consistent source covering every county in the requested states before 2019.,Do not append post-2020 tracking data without a comparability study.
A20,Density denominator,2024 Gazetteer land area is applied to every county-year.,A single official land-area denominator permits a consistent density calculation.,"Density changes reflect population changes, not boundary revisions."
A21,Growth rates,Population and housing growth are suppressed for 2010 and 2020.,2010 lacks a prior panel year; 2020 crosses the Census estimate-vintage boundary.,Do not fill the suppressed growth cells from adjacent years.
A22,State variables,Minimum wage and Medicaid expansion status are state-year measures repeated across counties.,The requested concepts are state policies rather than county measures.,They contain no within-state cross-county variation and require state-clustered interpretation.
A23,Medicaid coding,California is coded expanded beginning in 2014 and Florida is coded not expanded through 2025.,California implemented ACA expansion on 2014-01-01; Florida had not implemented it by the panel end.,"The binary flag does not measure enrollment, generosity, or county implementation intensity."
A24,Requested substitutes,"Conceptually different but relevant measures are included only under precise names: ZORI is not median rent, overall housing-cost burden is not renter-only burden, the quintile ratio is not Gini, and high-school attainment is not a graduation rate.",Prevents definition drift while retaining useful predictors.,Use requested_variable_status.csv before selecting variables.
A25,Foreclosure,The foreclosure-rate field is reserved and blank.,No free comparable county-year foreclosure-rate series covering 2010-2025 was verified.,Do not substitute mortgage delinquency or foreclosure starts without renaming and documenting the new concept.
