"check_id","requirement","expected","observed","status","detail"
"1.1","Live MD5 of v2 workbook equals the MD5 recorded in FINAL_run_manifest.csv","5d3fd16b32c687e5207ea59c902e7bef","5d3fd16b32c687e5207ea59c902e7bef","PASS",""
"1.2","Manifest MD5 equals the EXPECTED_V2_MD5 hard-coded in fit_lasso_models.R","5d3fd16b32c687e5207ea59c902e7bef","5d3fd16b32c687e5207ea59c902e7bef","PASS",""
"1.3","Manifest input_file is the v2 workbook (not v1)","outputs/lasso_model/CA_FL_LASSO_MODEL_INPUT_v2.xlsx","outputs/lasso_model/CA_FL_LASSO_MODEL_INPUT_v2.xlsx","PASS",""
"1.4","v1 workbook MD5 differs from the audited v2 MD5 (v1 provably not used)","v1 != 5d3fd16b32c687e5207ea59c902e7bef","v1 = 4110465a13203019171ff2b3e4d6bb8e","PASS",""
"1.5","Run stamped FINAL with coordinator sign-off and matching-MD5 flag","run_mode=FINAL; is_preliminary=FALSE; coordinator_confirmed_v2=TRUE; input_md5_matches_expected=TRUE","run_mode=FINAL; is_preliminary=FALSE; coordinator_confirmed_v2=TRUE; input_md5_matches_expected=TRUE","PASS",""
"1.6","FINAL_analysis_statements.md cites the same MD5","5d3fd16b32c687e5207ea59c902e7bef","cited","PASS",""
"1.7","FINAL-mode guard in source aborts on wrong input or changed MD5","normalizePath(input_file) == INPUT_V2 and MD5 identity enforced","both guards present","PASS",""
"2.1","Input workbook has 887 modeling rows","887","887","PASS",""
"2.2","Input workbook covers 70 distinct CoCs","70","70","PASS",""
"2.3","38 candidate predictors (all non-id, non-target, non-control columns)","38","38","PASS",""
"2.4","2 control columns present","control_state_florida; control_time_index","control_state_florida; control_time_index","PASS",""
"2.5","No non-finite (NA/NaN/Inf) values in target, controls or predictors","0","0","PASS","checked across 41 modeled columns x 887 rows"
"2.6","All predictor columns numeric","0","0","PASS",""
"2.7","No duplicated CoC-year rows","0","0","PASS",""
"2.8","Manifest n_rows / n_cocs / n_predictors agree with the workbook","887/70/38","887/70/38","PASS",""
